X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-0.0115600000,0.0000010000
0,0.640000,-0.009600,,
1,0.640000,-0.008400,,
2,0.640000,-0.008400,,
3,0.640000,-0.010800,,
4,0.640000,-0.009600,,
5,0.640000,-0.010800,,
6,0.640000,-0.008000,,
7,0.640000,-0.008000,,
8,0.640000,-0.008400,,
9,0.640000,-0.008000,,
10,0.640000,-0.010400,,
11,0.640000,-0.007200,,
12,0.640000,-0.008000,,
13,0.640000,-0.007200,,
14,0.640000,-0.008000,,
15,0.640000,-0.008000,,
16,0.640000,-0.006800,,
17,0.640000,-0.008000,,
18,0.640000,-0.008400,,
19,0.640000,-0.009200,,
20,0.640000,-0.006000,,
21,0.640000,-0.008400,,
22,0.640000,-0.008400,,
23,0.640000,-0.008000,,
24,0.640000,-0.010400,,
25,0.640000,-0.008000,,
26,0.640000,-0.006800,,
27,0.640000,-0.009200,,
28,0.640000,-0.008400,,
29,0.640000,-0.009200,,
30,0.640000,-0.007200,,
31,0.640000,-0.010400,,
32,0.640000,-0.011600,,
33,0.640000,-0.009200,,
34,0.640000,-0.009200,,
35,0.640000,-0.010400,,
36,0.640000,-0.009600,,
37,0.640000,-0.010400,,
38,0.640000,-0.010800,,
39,0.640000,-0.009200,,
40,0.640000,-0.007200,,
41,0.640000,-0.008400,,
42,0.640000,-0.009600,,
43,0.640000,-0.010400,,
44,0.640000,-0.009600,,
45,0.640000,-0.008400,,
46,0.640000,-0.010400,,
47,0.640000,-0.008400,,
48,0.640000,-0.008400,,
49,0.640000,-0.008400,,
50,0.640000,-0.008400,,
51,0.640000,-0.010800,,
52,0.640000,-0.010400,,
53,0.640000,-0.010400,,
54,0.640000,-0.009200,,
55,0.640000,-0.008400,,
56,0.640000,-0.010800,,
57,0.640000,-0.012000,,
58,0.640000,-0.010400,,
59,0.640000,-0.008400,,
60,0.640000,-0.010400,,
61,0.640000,-0.010400,,
62,0.560000,-0.008400,,
63,0.560000,-0.011600,,
64,0.640000,-0.010800,,
65,0.560000,-0.009600,,
66,0.560000,-0.009600,,
67,0.560000,-0.012000,,
68,0.560000,-0.009200,,
69,0.640000,-0.009200,,
70,0.560000,-0.010800,,
71,0.560000,-0.010400,,
72,0.560000,-0.011600,,
73,0.560000,-0.008000,,
74,0.560000,-0.009600,,
75,0.560000,-0.010400,,
76,0.560000,-0.010400,,
77,0.560000,-0.012000,,
78,0.560000,-0.008400,,
79,0.560000,-0.009600,,
80,0.560000,-0.007200,,
81,0.560000,-0.008400,,
82,0.560000,-0.010400,,
83,0.560000,-0.009200,,
84,0.560000,-0.010400,,
85,0.560000,-0.011600,,
86,0.560000,-0.011600,,
87,0.560000,-0.008400,,
88,0.560000,-0.010400,,
89,0.560000,-0.010400,,
90,0.560000,-0.009600,,
91,0.560000,-0.010400,,
92,0.560000,-0.011600,,
93,0.560000,-0.011600,,
94,0.560000,-0.008000,,
95,0.560000,-0.010800,,
96,0.560000,-0.010400,,
97,0.560000,-0.012000,,
98,0.560000,-0.010800,,
99,0.560000,-0.009200,,
100,0.560000,-0.009200,,
101,0.560000,-0.008000,,
102,0.560000,-0.010400,,
103,0.560000,-0.008400,,
104,0.560000,-0.008400,,
105,0.560000,-0.008400,,
106,0.560000,-0.007200,,
107,0.560000,-0.010400,,
108,0.560000,-0.008400,,
109,0.560000,-0.010400,,
110,0.560000,-0.009200,,
111,0.560000,-0.012800,,
112,0.560000,-0.010800,,
113,0.560000,-0.009600,,
114,0.560000,-0.012000,,
115,0.560000,-0.008400,,
116,0.560000,-0.010400,,
117,0.560000,-0.010800,,
118,0.560000,-0.012000,,
119,0.560000,-0.009600,,
120,0.560000,-0.008000,,
121,0.560000,-0.012800,,
122,0.560000,-0.009600,,
123,0.560000,-0.012000,,
124,0.560000,-0.010800,,
125,0.560000,-0.012000,,
126,0.560000,-0.012000,,
127,0.560000,-0.010400,,
128,0.560000,-0.012000,,
129,0.560000,-0.009600,,
130,0.560000,-0.010800,,
131,0.560000,-0.011600,,
132,0.560000,-0.011600,,
133,0.560000,-0.010800,,
134,0.560000,-0.008400,,
135,0.560000,-0.010800,,
136,0.560000,-0.012800,,
137,0.560000,-0.012800,,
138,0.560000,-0.010400,,
139,0.560000,-0.011600,,
140,0.560000,-0.010800,,
141,0.560000,-0.011600,,
142,0.560000,-0.013200,,
143,0.560000,-0.014000,,
144,0.560000,-0.010400,,
145,0.400000,-0.009600,,
146,0.400000,-0.013200,,
147,0.400000,-0.010800,,
148,0.400000,-0.011600,,
149,0.400000,-0.010400,,
150,0.400000,-0.012800,,
151,0.400000,-0.012000,,
152,0.400000,-0.010800,,
153,0.400000,-0.012800,,
154,0.400000,-0.010400,,
155,0.400000,-0.013200,,
156,0.400000,-0.012800,,
157,0.400000,-0.011600,,
158,0.400000,-0.011600,,
159,0.400000,-0.009600,,
160,0.400000,-0.014000,,
161,0.400000,-0.010800,,
162,0.400000,-0.011600,,
163,0.400000,-0.009600,,
164,0.400000,-0.010800,,
165,0.400000,-0.012000,,
166,0.400000,-0.010800,,
167,0.400000,-0.010800,,
168,0.400000,-0.010400,,
169,0.400000,-0.010800,,
170,0.400000,-0.009200,,
171,0.400000,-0.010800,,
172,0.400000,-0.009200,,
173,0.400000,-0.009200,,
174,0.400000,-0.010400,,
175,0.400000,-0.011600,,
176,0.400000,-0.010800,,
177,0.400000,-0.009200,,
178,0.400000,-0.010800,,
179,0.400000,-0.009600,,
180,0.400000,-0.011600,,
181,0.400000,-0.012800,,
182,0.400000,-0.010800,,
183,0.400000,-0.010400,,
184,0.400000,-0.010400,,
185,0.400000,-0.014400,,
186,0.400000,-0.010800,,
187,0.400000,-0.010400,,
188,0.400000,-0.010800,,
189,0.400000,-0.010400,,
190,0.400000,-0.010800,,
191,0.400000,-0.009600,,
192,0.400000,-0.012000,,
193,0.400000,-0.010800,,
194,0.400000,-0.009600,,
195,0.400000,-0.011600,,
196,0.400000,-0.010400,,
197,0.400000,-0.009600,,
198,0.400000,-0.012000,,
199,0.400000,-0.011600,,
200,0.400000,-0.010800,,
201,0.400000,-0.009600,,
202,0.400000,-0.010400,,
203,0.400000,-0.012000,,
204,0.400000,-0.011600,,
205,0.400000,-0.012800,,
206,0.400000,-0.011600,,
207,0.400000,-0.012800,,
208,0.400000,-0.013200,,
209,0.400000,-0.012800,,
210,0.400000,-0.013200,,
211,0.400000,-0.013200,,
212,0.400000,-0.012000,,
213,0.400000,-0.014000,,
214,0.400000,-0.014400,,
215,0.400000,-0.012800,,
216,0.400000,-0.011600,,
217,0.400000,-0.011600,,
218,0.400000,-0.013200,,
219,0.400000,-0.013200,,
220,0.400000,-0.013200,,
221,0.320000,-0.013200,,
222,0.320000,-0.009200,,
223,0.400000,-0.012800,,
224,0.320000,-0.011600,,
225,0.320000,-0.011600,,
226,0.320000,-0.010800,,
227,0.320000,-0.012800,,
228,0.320000,-0.013200,,
229,0.320000,-0.013200,,
230,0.320000,-0.012800,,
231,0.320000,-0.012000,,
232,0.320000,-0.013200,,
233,0.320000,-0.014000,,
234,0.320000,-0.015600,,
235,0.320000,-0.014000,,
236,0.320000,-0.013200,,
237,0.320000,-0.014000,,
238,0.320000,-0.012800,,
239,0.320000,-0.014400,,
240,0.320000,-0.013200,,
241,0.320000,-0.013200,,
242,0.320000,-0.013200,,
243,0.320000,-0.012800,,
244,0.320000,-0.014000,,
245,0.320000,-0.010400,,
246,0.320000,-0.012800,,
247,0.320000,-0.010800,,
248,0.320000,-0.012800,,
249,0.320000,-0.013200,,
250,0.320000,-0.012800,,
251,0.320000,-0.012000,,
252,0.320000,-0.011600,,
253,0.320000,-0.014400,,
254,0.320000,-0.014000,,
255,0.320000,-0.013200,,
256,0.320000,-0.014000,,
257,0.320000,-0.014400,,
258,0.320000,-0.013200,,
259,0.320000,-0.012800,,
260,0.320000,-0.013200,,
261,0.320000,-0.011600,,
262,0.320000,-0.013200,,
263,0.320000,-0.013200,,
264,0.320000,-0.015600,,
265,0.320000,-0.012000,,
266,0.320000,-0.012000,,
267,0.320000,-0.014000,,
268,0.320000,-0.014000,,
269,0.320000,-0.015200,,
270,0.320000,-0.011600,,
271,0.320000,-0.013200,,
272,0.320000,-0.013200,,
273,0.320000,-0.013200,,
274,0.320000,-0.014000,,
275,0.320000,-0.014000,,
276,0.320000,-0.013200,,
277,0.320000,-0.011600,,
278,0.320000,-0.014400,,
279,0.320000,-0.012000,,
280,0.320000,-0.011600,,
281,0.320000,-0.012000,,
282,0.320000,-0.012800,,
283,0.320000,-0.013200,,
284,0.320000,-0.011600,,
285,0.320000,-0.014400,,
286,0.320000,-0.010800,,
287,0.320000,-0.014000,,
288,0.320000,-0.014000,,
289,0.320000,-0.014400,,
290,0.320000,-0.013200,,
291,0.320000,-0.011600,,
292,0.320000,-0.015600,,
293,0.320000,-0.013200,,
294,0.320000,-0.014000,,
295,0.320000,-0.014000,,
296,0.320000,-0.012000,,
297,0.320000,-0.012000,,
298,0.160000,-0.013200,,
299,0.160000,-0.015600,,
300,0.160000,-0.014400,,
301,0.160000,-0.014400,,
302,0.320000,-0.012800,,
303,0.160000,-0.014400,,
304,0.160000,-0.015200,,
305,0.160000,-0.014000,,
306,0.160000,-0.015200,,
307,0.160000,-0.014400,,
308,0.160000,-0.015200,,
309,0.160000,-0.014000,,
310,0.160000,-0.016400,,
311,0.160000,-0.015600,,
312,0.160000,-0.014000,,
313,0.160000,-0.016800,,
314,0.160000,-0.015600,,
315,0.160000,-0.016400,,
316,0.160000,-0.014000,,
317,0.160000,-0.017600,,
318,0.160000,-0.017600,,
319,0.160000,-0.015200,,
320,0.160000,-0.015200,,
321,0.160000,-0.014400,,
322,0.160000,-0.015200,,
323,0.160000,-0.014400,,
324,0.160000,-0.016800,,
325,0.160000,-0.016800,,
326,0.160000,-0.013200,,
327,0.160000,-0.015600,,
328,0.160000,-0.014000,,
329,0.160000,-0.016800,,
330,0.160000,-0.015600,,
331,0.160000,-0.016400,,
332,0.160000,-0.015200,,
333,0.160000,-0.014000,,
334,0.160000,-0.016400,,
335,0.160000,-0.014400,,
336,0.160000,-0.014000,,
337,0.160000,-0.014400,,
338,0.160000,-0.014000,,
339,0.160000,-0.016400,,
340,0.160000,-0.015200,,
341,0.160000,-0.015200,,
342,0.160000,-0.014000,,
343,0.160000,-0.016400,,
344,0.160000,-0.016400,,
345,0.160000,-0.016400,,
346,0.160000,-0.015200,,
347,0.160000,-0.014400,,
348,0.160000,-0.015200,,
349,0.160000,-0.014000,,
350,0.160000,-0.016800,,
351,0.160000,-0.014400,,
352,0.160000,-0.012800,,
353,0.160000,-0.014400,,
354,0.160000,-0.014000,,
355,0.160000,-0.016400,,
356,0.160000,-0.015200,,
357,0.160000,-0.016400,,
358,0.160000,-0.014400,,
359,0.160000,-0.014000,,
360,0.160000,-0.016400,,
361,0.160000,-0.013200,,
362,0.160000,-0.011600,,
363,0.160000,-0.014000,,
364,0.160000,-0.014400,,
365,0.160000,-0.015600,,
366,0.160000,-0.013200,,
367,0.160000,-0.014000,,
368,0.160000,-0.014000,,
369,0.160000,-0.012800,,
370,0.160000,-0.015600,,
371,0.160000,-0.015600,,
372,0.080000,-0.013200,,
373,0.160000,-0.014000,,
374,0.080000,-0.014000,,
375,0.160000,-0.014000,,
376,0.080000,-0.013200,,
377,0.080000,-0.013200,,
378,0.080000,-0.014000,,
379,0.080000,-0.014000,,
380,0.080000,-0.014000,,
381,0.080000,-0.014400,,
382,0.080000,-0.014000,,
383,0.080000,-0.014000,,
384,0.080000,-0.016400,,
385,0.080000,-0.015600,,
386,0.080000,-0.014400,,
387,0.080000,-0.013200,,
388,0.080000,-0.013200,,
389,0.080000,-0.015200,,
390,0.080000,-0.014000,,
391,0.080000,-0.014000,,
392,0.080000,-0.013200,,
393,0.080000,-0.015200,,
394,0.080000,-0.016400,,
395,0.080000,-0.014000,,
396,0.080000,-0.016400,,
397,0.080000,-0.016800,,
398,0.080000,-0.017600,,
399,0.080000,-0.016400,,
400,0.080000,-0.015200,,
401,0.080000,-0.016400,,
402,0.080000,-0.014000,,
403,0.080000,-0.016400,,
404,0.080000,-0.017600,,
405,0.080000,-0.014400,,
406,0.080000,-0.016800,,
407,0.080000,-0.017600,,
408,0.080000,-0.016400,,
409,0.080000,-0.015200,,
410,0.080000,-0.015600,,
411,0.080000,-0.018800,,
412,0.080000,-0.016800,,
413,0.080000,-0.016400,,
414,0.080000,-0.016800,,
415,0.080000,-0.014400,,
416,0.080000,-0.015600,,
417,0.080000,-0.017600,,
418,0.080000,-0.016400,,
419,0.080000,-0.015600,,
420,0.080000,-0.015200,,
421,0.080000,-0.016800,,
422,0.080000,-0.016400,,
423,0.080000,-0.016400,,
424,0.080000,-0.017600,,
425,0.080000,-0.016800,,
426,0.080000,-0.016400,,
427,0.080000,-0.015200,,
428,0.080000,-0.015600,,
429,0.080000,-0.015600,,
430,0.080000,-0.016400,,
431,0.080000,-0.018800,,
432,0.080000,-0.016400,,
433,0.080000,-0.016800,,
434,0.080000,-0.016400,,
435,0.080000,-0.017600,,
436,0.080000,-0.019200,,
437,0.080000,-0.016400,,
438,0.080000,-0.018000,,
439,0.080000,-0.017600,,
440,0.080000,-0.017600,,
441,0.080000,-0.017600,,
442,0.080000,-0.015600,,
443,0.080000,-0.016800,,
444,0.080000,-0.017600,,
445,0.080000,-0.016800,,
446,0.080000,-0.018800,,
447,-0.080000,-0.016800,,
448,-0.080000,-0.014400,,
449,-0.080000,-0.018800,,
450,0.080000,-0.019200,,
451,-0.080000,-0.017600,,
452,-0.080000,-0.016400,,
453,-0.080000,-0.016400,,
454,-0.080000,-0.016800,,
455,-0.080000,-0.016400,,
456,-0.080000,-0.017600,,
457,-0.080000,-0.016800,,
458,-0.080000,-0.016400,,
459,-0.080000,-0.018800,,
460,-0.080000,-0.016800,,
461,-0.080000,-0.018000,,
462,-0.080000,-0.017600,,
463,-0.080000,-0.018000,,
464,-0.080000,-0.019200,,
465,-0.080000,-0.018800,,
466,-0.080000,-0.018000,,
467,-0.080000,-0.016400,,
468,-0.080000,-0.018800,,
469,-0.080000,-0.019200,,
470,-0.080000,-0.018000,,
471,-0.080000,-0.018800,,
472,-0.080000,-0.017600,,
473,-0.080000,-0.016400,,
474,-0.080000,-0.017600,,
475,-0.080000,-0.018800,,
476,-0.080000,-0.017600,,
477,-0.080000,-0.016800,,
478,-0.080000,-0.018000,,
479,-0.080000,-0.018800,,
480,-0.080000,-0.016800,,
481,-0.080000,-0.017600,,
482,-0.080000,-0.017600,,
483,-0.080000,-0.016800,,
484,-0.080000,-0.020000,,
485,-0.080000,-0.018000,,
486,-0.080000,-0.016400,,
487,-0.080000,-0.016800,,
488,-0.080000,-0.018000,,
489,-0.080000,-0.019200,,
490,-0.080000,-0.019200,,
491,-0.080000,-0.020000,,
492,-0.080000,-0.018000,,
493,-0.080000,-0.018800,,
494,-0.080000,-0.020400,,
