X,CH1,CH2,Start,Increment,,Max,Min,Amp
Sequence,Volt,Volt,-0.0115600000,0.0000010000,,0.047200,-0.0516,0.049399999999999999
0,1.040000,-0.008000,,,,,,
1,1.040000,-0.008000,,,,,,
2,1.040000,-0.006000,,,,,,
3,1.040000,-0.007200,,,,,,
4,1.040000,-0.007200,,,,,,
5,1.040000,-0.008000,,,,,,
6,1.040000,-0.009200,,,,,,
7,1.040000,-0.006800,,,,,,
8,1.040000,-0.006000,,,,,,
9,1.040000,-0.007200,,,,,,
10,1.040000,-0.007200,,,,,,
11,1.040000,-0.006800,,,,,,
12,1.040000,-0.007200,,,,,,
13,1.040000,-0.007200,,,,,,
14,1.040000,-0.009200,,,,,,
15,1.040000,-0.005600,,,,,,
16,1.040000,-0.006000,,,,,,
17,1.040000,-0.009200,,,,,,
18,1.040000,-0.007200,,,,,,
19,1.040000,-0.007200,,,,,,
20,1.040000,-0.008000,,,,,,
21,1.040000,-0.008000,,,,,,
22,1.040000,-0.007200,,,,,,
23,1.040000,-0.006800,,,,,,
24,1.040000,-0.007200,,,,,,
25,1.040000,-0.009600,,,,,,
26,1.040000,-0.008400,,,,,,
27,1.040000,-0.008400,,,,,,
28,1.040000,-0.008400,,,,,,
29,1.040000,-0.007200,,,,,,
30,1.040000,-0.008400,,,,,,
31,1.040000,-0.008000,,,,,,
32,1.040000,-0.007200,,,,,,
33,1.040000,-0.007200,,,,,,
34,1.040000,-0.007200,,,,,,
35,0.880000,-0.006800,,,,,,
36,1.040000,-0.005600,,,,,,
37,1.040000,-0.008000,,,,,,
38,1.040000,-0.008400,,,,,,
39,1.040000,-0.007200,,,,,,
40,0.880000,-0.007200,,,,,,
41,0.880000,-0.008000,,,,,,
42,0.880000,-0.006800,,,,,,
43,0.880000,-0.009200,,,,,,
44,0.880000,-0.006000,,,,,,
45,0.880000,-0.008400,,,,,,
46,0.880000,-0.009600,,,,,,
47,0.880000,-0.006000,,,,,,
48,0.880000,-0.006800,,,,,,
49,0.880000,-0.008000,,,,,,
50,0.880000,-0.008400,,,,,,
51,0.880000,-0.008400,,,,,,
52,0.880000,-0.009600,,,,,,
53,0.880000,-0.009200,,,,,,
54,0.880000,-0.009200,,,,,,
55,0.880000,-0.007200,,,,,,
56,0.880000,-0.008000,,,,,,
57,0.880000,-0.008400,,,,,,
58,0.880000,-0.007200,,,,,,
59,0.880000,-0.008400,,,,,,
60,0.880000,-0.006000,,,,,,
61,0.880000,-0.005600,,,,,,
62,0.880000,-0.006000,,,,,,
63,0.880000,-0.008000,,,,,,
64,0.880000,-0.007200,,,,,,
65,0.880000,-0.007200,,,,,,
66,0.880000,-0.008000,,,,,,
67,0.880000,-0.008000,,,,,,
68,0.880000,-0.006000,,,,,,
69,0.880000,-0.005600,,,,,,
70,0.880000,-0.006800,,,,,,
71,0.880000,-0.007200,,,,,,
72,0.880000,-0.007200,,,,,,
73,0.880000,-0.005600,,,,,,
74,0.880000,-0.005600,,,,,,
75,0.880000,-0.009200,,,,,,
76,0.880000,-0.006000,,,,,,
77,0.880000,-0.007200,,,,,,
78,0.880000,-0.009200,,,,,,
79,0.880000,-0.009200,,,,,,
80,0.880000,-0.008400,,,,,,
81,0.880000,-0.008000,,,,,,
82,0.880000,-0.007200,,,,,,
83,0.880000,-0.009600,,,,,,
84,0.880000,-0.009600,,,,,,
85,0.880000,-0.006800,,,,,,
86,0.880000,-0.008400,,,,,,
87,0.880000,-0.007200,,,,,,
88,0.880000,-0.009200,,,,,,
89,0.880000,-0.008400,,,,,,
90,0.880000,-0.008400,,,,,,
91,0.880000,-0.010400,,,,,,
92,0.880000,-0.008400,,,,,,
93,0.880000,-0.008000,,,,,,
94,0.880000,-0.008000,,,,,,
95,0.880000,-0.008400,,,,,,
96,0.880000,-0.008000,,,,,,
97,0.880000,-0.009600,,,,,,
98,0.880000,-0.009200,,,,,,
99,0.880000,-0.009600,,,,,,
100,0.880000,-0.008400,,,,,,
101,0.800000,-0.009600,,,,,,
102,0.800000,-0.009600,,,,,,
103,0.800000,-0.010400,,,,,,
104,0.800000,-0.012000,,,,,,
105,0.800000,-0.010800,,,,,,
